Q16538	Q9UPY8
P28347	P50549
P42898	Q8IWV8
P02810	P04746
Q15019	P54646
O43623	Q9HCT0
O75419	P23490
Q8N9V6	P53999
Q9NVU7	Q8WWM7
Q92834	Q6UXV4
Q9BZG1	Q99543
Q08209	Q9Y2C9
Q00536	P46734
P32121	Q9H6E4
P07988	Q14563
Q01995	O94813
Q6ZST4	P30542
Q96A26	A0A0A6YYL0
Q9P0J6	P62304
P38398	Q9H3R0
Q86UL3	Q330K2
Q9UIW2	O75145
Q9BYK8	Q99700
Q8IWV2	P53611
P06727	O75762
Q9UHC9	Q8TE54
P62829	Q6IN84
Q8NEA6	P10589
P26583	K7EIY8
Q9Y261	P46527
Q15327	P84095
P18428	Q13231
Q9P2R7	Q01449
O95166	Q9P2D7
Q13526	Q96NG8
Q99661	Q8IU81
Q16695	P51124
P68036	Q9NVH1
P15259	Q16698
P60827	Q9UP95
P24386	P80511
O75449	Q7L099
Q8WZ60	Q15937
Q05513	A6NGE7
P06241	Q99717
P27987	P21810
Q99623	P53041
C9J202	Q01974
Q9BQG1	Q76KP1
P20839	P38646
O60503	P36405
A0A096LPH7	P61006
Q92624	Q9UQ03
P31327	Q01813
O00541	Q9P0U4
P35398	P54252
P78559	Q9BSB4
Q9UI33	Q8N8Q9
Q96BM9	P07948
Q5H8A4	Q9BZH6
Q14894	P42858
P50613	O43542
Q96MI9	Q8N436
O14949	Q13564
Q8NB90	B7Z3I4
P11142	Q13158
P78413	P09017
Q8NB50	P57078
P46013	Q99967
O14746	Q9NRZ9
Q13585	P30679
P19105	Q13241
P28562	Q9Y281
P23025	P05412
P50238	Q96MX0
Q6P093	P47900
P04350	Q96EK2
Q13043	Q9H400
Q9UM00	Q9H579
P53674	P10275
Q9NXZ2	O60522
Q96P53	P09936
O95057	Q7L5A8
P23634	P08246
Q9Y5J3	Q5JSZ5
Q9H3W5	P62328
P42574	O14901
P48067	P26367
Q5VZ03	Q969Q6
Q86VN1	P11717
P63215	Q9H0S4
Q8WUH2	Q9UNH6
P35241	Q6S8J3
O60218	Q9UHG3
P61968	Q96MF7
O60879	P08842
Q9UMS6	P62256
Q6VY07	O43290
P98155	Q9HBL0
P46952	P08519
P49619	Q8N5I4
Q9C0F3	P26599
P35790	P27695
Q12996	P51114
P16422	Q06416
P01375	Q86Y46
Q13202	Q9UPT6
Q9Y366	Q5SQQ9
O76054	O95382
Q9BTF0	Q9P2J5
Q9H568	Q05193
Q7Z6J6	Q6V0I7
P12270	O95750
Q13085	P31323
Q13501	Q96EH8
Q9Y566	P41732
Q9UPS6	Q15434
P04049	P56180
Q8N612	Q93034
Q96L73	Q86UQ0
P98174	Q9UPP2
Q9UMX2	Q9UI46
Q13464	P0DP04
Q96K62	Q15208
O14770	P15172
P21333	Q969K4
Q9HCN4	Q15652
Q16659	Q6P2D0
Q5F1R6	O43143
Q9HB07	Q12931
Q9BUV8	Q9H5Y7
Q12802	Q14257
P54727	Q9NSI6
O43665	Q5VYJ5
Q9UBP5	P11161
P26371	P01270
Q9H115	P54760
F5H423	Q12756
E2JJS1	Q96MM3
Q4LE39	Q8N635
O75794	Q5VZ18
P21860	Q8TE56
O94921	Q14671
Q9UL52	P78412
P55040	Q5W0Z9
P40259	O95931
Q9P1Z3	Q8NI35
Q96MU8	Q13363
Q6NVV3	P31641
Q92185	O60548
Q9UH99	O60437
A6NHL2	P27361
Q5C9Z4	A0A096LNW4
Q03393	P40424
P0C1S8	Q9NZJ0
Q5TAH2	O60783
Q13591	P14543
Q96R67	Q02487
P01130	Q04726
Q9UPT9	P62195
Q9H9T3	Q5QP82
P52272	P41214
O60832	Q86SQ9
Q9P1Z3	Q5TEC6
Q9NPB0	P13073
Q9P2R3	Q9UPT5
Q9UI17	P17735
P51168	P10398
Q70CQ1	Q9BVQ7
O60760	Q9NRG1
Q96KQ7	P51786
P49736	Q96D46
Q99816	Q9Y6I7
L7N2F9	Q8TBN0
Q9NYA1	Q9HA47
Q86WR6	Q8N1L9
Q9Y3C0	Q6PD62
Q01344	Q8WV28
A7MCY6	Q16621
Q96IJ6	Q9NQ38
P31645	Q8TC20
P16415	Q99741
Q15785	O75880
P58872	P63215
Q9NW08	P29803
Q96G46	Q27J81
A6NJW4	Q5JU85
Q9UBF2	O75628
H0YCG3	Q9H4B8
Q9HCM7	Q8WTQ7
Q06033	Q96AC1
O75934	J3QKM9
Q9UKN7	P43080
P20719	Q8IZD2
Q5S007	P15924
P46821	P07339
P28482	Q9NZI5
Q92826	Q06945
P06576	Q9Y305
O15539	Q6ZMJ4
P12643	P13631
Q9P0G3	Q9H1E1
Q6PRD7	Q3BBV0
O60675	Q15542
P21291	Q15262
P07237	P14555
P02533	Q9H5V8
Q96Q05	P46100
Q9P2R3	O75449
Q9H1J7	O95475
Q8IZH2	P04075
Q86WN2	Q8WXG1
P54727	Q86W74
Q8TBF4	P30511
O15492	P22736
H0YCD9	Q53GL0
Q9BZ95	P0CJ78
Q9UBP0	P05129
Q96KR7	O43295
Q5THJ4	Q7Z4L5
P51858	F8WE97
Q8N2R0	Q08493
O14983	O00400
Q9NRC6	Q6NY19
Q15435	Q7LBR1
P00746	P28799
P0CE72	Q8WUA2
P23396	Q3YBR2
Q9ULL4	Q9UMF0
P61586	P08133
Q02246	Q2TAP0
Q07617	Q5QP82
P02768	Q9UBP4
P04155	Q8IV36
Q9UNH5	P10586
O43759	Q8N4L1
Q8NEV4	Q9NSY1
Q96FX7	Q9UBF8
P23763	Q8IWU4
O75493	Q96DZ9
Q9NWZ3	F5H423
Q96C24	Q86WA6
P62277	O14521
Q9Y618	Q9H1H9
O75038	Q9UQM7
P51955	Q9Y278
Q5BKZ1	P09234
Q99541	O95633
O00748	Q9Y303
A1E959	P31645
P13646	P62736
Q9UF11	Q9C0B6
Q15208	P60484
Q9HB63	Q15113
Q9BPW5	O60282
Q9C0D5	Q9UBK7
Q8N8A2	Q8IYK8
P07948	Q9BYH8
Q86Y33	Q7KZF4
P41223	P78345
Q13224	Q8N3G9
Q6IN85	P40818
P18858	Q13616
A6NIK2	Q9NY64
Q14161	Q9UGN5
Q92806	Q9H427
Q92915	Q5HYL7
Q9Y3D6	Q15257
P17676	P29992
Q9NYN1	P51888
Q9GZQ8	P33316
P02787	P43004
Q9Y3F4	O00505
Q9Y5G6	Q12913
O60330	P35443
Q13362	P27037
P41229	Q16587
P05783	Q9NVU7
Q13237	P60510
Q8TF72	Q93052
Q9BWE0	Q9BZL4
P19634	O00180
Q9UMR3	Q9UBL3
Q96I34	Q9HD36
P17813	P24530
P35626	Q06210
Q6MZM0	Q7Z6V5
P52701	P43490
Q8N1S5	Q9GZN0
A6NFY4	Q9Y2C2
P07339	P31946
Q5HYM0	Q9Y6K9
Q86XP3	P51888
P05388	O43548
Q9NRM2	O15063
Q8IZT6	Q6P2D8
O43897	P51911
Q9Y295	O75937
Q16787	Q02108
P21741	Q9NPI5
O14746	P60953
O60547	Q08499
P12111	Q92569
Q9NRU3	Q96DP5
Q8WYR4	Q9UG01
Q6L8Q7	P39023
Q8N1G1	P35475
O60543	P08237
Q9BYX4	Q17RG1
Q9Y5U5	P05089
P51617	Q12798
Q8N1Q1	P16220
P49207	Q8IWT0
Q8IVT5	Q15147
Q8WXE1	Q8N2W9
Q16825	P26717
Q92882	Q15027
O15397	Q9NXF1
Q92835	P15056
Q9UKX7	Q4U2R6
Q96PR1	Q15323
Q562F6	P45973
P33176	Q9Y616
Q99767	Q9Y2H1
O43513	Q16543
Q6Q0C0	Q9ULJ7
Q99683	B9A6J9
Q07283	P78417
Q6NUI6	Q8N136
P42574	Q99453
O95257	P31371
P41159	Q9BX79
Q6ZTR7	P01584
Q13087	O15297
O14829	P31483
Q15063	P04233
P32320	O00222
Q96KC9	O75475
Q99704	Q12912
Q96NX5	Q86UL8
P33993	O60725
Q9H1J7	Q13418
Q9NUP7	Q96M93
Q8IUW5	Q96KR4
Q9BZE3	Q9Y2J0
A4D126	Q92535
Q8NEZ4	P20248
P16284	P07942
Q2VY69	Q09028
O95445	P30626
Q96QD8	Q9UNQ0
Q9H628	Q8IYU2
Q9BPZ2	P07686
P16152	Q8NCG7
Q8WWT9	Q9BV23
A0A0A0MQY9	Q14533
A6NDZ8	Q96L91
Q16849	Q14184
Q5JTV8	Q86XJ1
P25800	Q5T750
P41235	P20264
Q5GLZ8	Q96SL1
Q8NI38	P01111
Q8IYF3	Q15434
Q7Z5J8	P51665
Q5TDP6	Q13232
Q13356	P25208
Q8N5X7	Q9Y276
P0DMV8	P10276
Q8TDR2	Q96HA9
P11686	P13500
Q04771	Q86YW0
Q6YN16	Q8NHV1
A2PYH4	Q9ULT0
Q96Q80	Q15572
Q8NAT2	P09211
Q5T6S3	P01031
Q9H892	Q53H12
P08151	O14656
Q9UNA0	P40763
P08912	Q9NR82
Q7Z5N4	Q9UKQ2
P08134	O15498
Q13591	Q8N474
O75570	H9KV45
Q8IUA7	P78330
Q969U7	Q9UM13
P49019	Q6XQN6
Q5T2S8	O00217
Q2I0M5	Q67FW5
O60359	Q5VZ66
P62280	Q9H6T3
P16389	Q9HC56
P51161	P13473
Q8TAM1	Q9BY44
P08620	P31270
Q9BRX9	Q7L2J0
Q96DU7	A0A286YF81
Q6UXD5	O43761
Q96NS1	Q86UE6
Q15024	Q9Y4Y9
Q9H7N4	Q9UGR2
P07199	P53680
Q96EP1	Q96FA3
Q9H115	P09471
P22612	Q6AZW8
Q9NXW2	Q96MT1
O43583	P61011
O75396	A5A3E0
P35212	Q92953
Q15111	O60880
P31948	B5ME19
Q3LXA3	Q96PS8
O95406	Q9NWL6
Q8N3R9	O75150
O95985	Q8WZ04
Q9BZF9	Q6IQ22
P43304	Q7L5Y9
O75871	Q96HH6
Q8NE63	Q9HB75
Q8WVM0	P07203
P08908	Q9HB07
Q8TF40	P38432
P53370	Q92831
Q8TF62	Q2TB90
P03891	P34896
O60500	Q9UJM8
F6X3S4	P13569
Q75N90	P01762
P24386	Q8WUN7
Q8IVF5	Q8NI35
Q5T601	P20774
P33527	Q9Y6M7
P14616	Q53SF7
P0C0S5	P02144
Q13620	Q7Z3U7
P55789	P16152
Q9GZX7	O15444
P60880	O75038
O43281	P35453
P49354	P40616
Q9Y399	Q9HD42
O60231	P18754
P10911	P0C0E4
Q6IA17	P20702
P40424	Q9UKA9
Q9BUF5	O60729
Q15910	O95999
Q8NE63	Q9BYT9
P02730	A6NDP7
P10415	Q96HP0
Q9NYF8	Q06455
Q9Y259	O15347
P21108	P60484
P35125	Q2M2I8
P50914	O77932
Q12950	Q9H808
Q5TAH2	Q06124
Q6UWM9	P07358
Q15223	P51681
P61353	Q9NRP2
Q8TB45	P01133
Q86VH5	A6NNE9
Q9P2U8	Q9NQ79
Q9H492	Q16539
Q9NUT2	O43903
P18507	P08319
E5RI56	P51151
P01133	O75093
Q9NWX5	Q9Y689
Q2M2I8	Q92997
Q9P104	Q9UBP4
P25398	Q9Y3Y2
Q96CW5	Q8TC07
Q99578	Q15842
Q6P1N9	Q96QE2
Q96NY8	O95436
Q8WVL7	O95067
Q9UMX1	Q03052
Q8IY21	Q8NG08
Q09666	Q14512
Q9Y463	P27987
Q99496	Q9NV56
Q96QR8	Q92797
Q9NYS0	Q15822
Q5TCZ1	O95278
Q86XP6	Q9UBP4
Q9BXC1	Q8WU39
O75326	P78536
Q5XUX1	Q00613
P83110	P04181
P17035	Q3YBR2
Q9ULC3	Q13202
Q8N4C8	P78352
P63173	P05496
P35900	P33260
P17040	P78543
Q03112	Q05823
P49366	P0DP58
Q96GC9	P30301
P10599	Q9H694
Q9HCQ5	Q5SZQ8
Q5TCY1	Q9UF33
Q9HB75	Q9NPI5
Q9NZS2	P02775
Q8WYJ6	Q92839
Q8IYF3	O14936
Q12879	Q8IUQ4
Q13162	Q9UI42
P07204	Q99626
P24928	Q15386
O94885	P00519
Q76MJ5	Q2VIQ3
F8W031	P13805
Q86UE6	Q92841
Q9UBC5	Q96T91
Q15797	O75962
Q9UFH2	O60942
O00421	Q8TD46
Q92766	Q7Z5W3
Q9BZG1	Q96HU1
A2A3L6	P31785
P50583	Q14240
P62714	Q96QE2
Q7Z4I7	Q6ZVZ8
P35218	P15692
Q04725	P15407
O43900	Q6P6B7
Q13464	Q8N4Z0
O00602	Q01546
Q9Y6A4	Q8N5L8
O96019	O60503
Q9Y4I1	Q5T1S7
Q86UX6	P51617
Q8IYR0	Q86UC2
P02794	Q13217
Q9C0I9	Q9ULZ3
P09917	O43451
P49767	O15230
A8MVX0	Q9BSE5
P0C0L4	Q9H0E2
P25100	Q92806
Q9NS67	Q9UKP6
P49915	Q86YD5
P47712	Q8IZD6
Q6L8Q7	Q96P48
P23409	P61964
P50990	Q15542
Q8N9L1	Q9UN73
Q96PU9	P34096
A6NK59	Q9NYY3
P18124	B5MD39
Q03828	Q9Y573
P31944	Q86W74
O75185	Q8WWF8
P14649	A0A087X0K4
Q96BQ5	Q15904
Q7L622	Q9Y462
Q6PEX3	Q13099
Q15334	Q14582
P55283	Q9H3S7
O14497	Q9UPN9
P49757	Q14195
P58166	Q92859
P11234	O75865
P22234	Q9HA92
Q9NUP7	Q9UI43
P35609	Q8WWH4
Q08AS3	P30273
Q13315	Q9H1A4
Q5VUC1	Q08431
Q8IZD2	Q8N2N9
O75069	Q8TB61
A6NC57	P02647
P49589	Q9BS26
O15335	Q9NP64
Q86VL8	O75387
P09211	Q03014
P24592	Q969I6
Q92845	O60909
Q86XD8	A1X283
Q9Y618	O75907
Q6UXC1	Q6P9H4
Q9Y228	O95256
Q16445	O15034
Q9BZC1	Q8WVX3
P23769	Q96P65
Q9Y466	O60391
M0R3H8	Q9H3S5
Q16517	O60729
Q63HK5	Q9NP66
Q99583	P07996
P36955	P19652
Q96BM1	Q6YHU6
Q8N8Q3	Q96T88
Q02108	P55273
O14815	Q14315
Q4U2R6	P62487
P50213	O00462
O00212	Q8WVI0
P63165	Q3MIS6
Q96NW4	P0CG39
Q8WUS8	Q9HA82
P78356	P84098
P63096	P04201
P41182	O95267
O95154	Q96L42
Q8IWR1	Q99880
Q9UK13	Q9NQR1
Q93077	P15923
Q9P2U7	Q49AJ0
Q9HBI5	O14529
Q63HK3	Q7Z6G8
Q76I76	A0A087X179
Q8N239	Q9UHG3
Q6NY19	Q15398
Q9NXU5	P09497
Q2M5E4	P57078
Q86YT6	Q13555
P51610	Q99958
P49763	P04179
Q7L0Y3	K7EMI3
P01130	P35613
O95989	Q03701
O75347	P42677
Q9UKU0	B0YJ81
Q7L1V2	Q92913
Q8TBG4	P17600
Q9NQ11	Q8IWU4
P53602	Q5JTZ9
P42772	Q2M2I8
Q5T9Z0	P43268
P80188	P04054
P49459	O43933
P16112	Q9Y2T4
Q969R2	Q10713
Q92953	Q15111
Q96LD4	P09067
Q9H3D4	O14905
Q96Q89	H0YGG7
O00139	Q96S79
O76082	Q99819
Q92664	Q5T9Z0
P15144	P45983
Q13123	P06493
Q8IVL1	Q9BYH8
Q8NI51	F8WCN1
Q86V81	O43776
O75908	Q03181
P31314	Q15270
Q8IYD2	P21246
O95864	P62736
Q9NYF0	O00144
Q96A08	P04818
P60568	P51575
Q96G21	Q9P0J7
P29965	Q9UBK2
Q14738	Q5VSL9
Q99715	Q7Z5L7
P22301	Q12772
O95450	P09544
Q13588	O14948
Q9H9J2	P21695
Q8WW24	Q5TD94
P57058	P54756
K7EJK4	Q96QU8
P45984	Q92841
Q9UDY4	Q9UPY5
P49715	Q12852
Q16665	P46109
Q5SXM1	Q9Y2H9
Q92945	O94768
O14924	Q9NWZ3
P0DL12	Q5JQF8
Q8N1W1	Q99439
Q9UKV0	Q6ZVH7
Q9H6V9	Q86YT6
A0A087X179	Q9UL26
P63220	Q9UJW0
Q03252	Q86XE0
Q8NHY2	Q6DKK2
O94844	O75923
Q5T280	Q96ES6
Q5T0D9	P45877
P10301	Q5T1R4
P29400	Q08629
Q99728	Q99502
P0CG48	Q9HA65
P05388	Q01085
Q92831	Q9Y243
P09529	P49279
Q5SYC1	Q9Y5P4
P43403	Q13438
Q13164	P12882
P27348	Q8N1W1
P29375	M0R135
P15529	Q9BQI9
O15164	O14893
Q6ZVZ8	P62993
Q14195	P09016
Q9H269	P31150
Q9P2S2	A6NKX4
O95045	P49006
P20702	Q8WYR1
Q96QP1	P51580
Q16630	P51531
Q9NPB8	Q53GD3
P50502	F5H284
Q9UBX3	Q8IWA4
O95707	Q08J23
Q7Z572	Q8NFM4
P46777	O15067
P48039	Q8NE79
P25092	P35346
O15027	Q9UL15
P25791	Q9ULH7
Q5TCX8	Q15545
Q9NPF7	Q15517
P30086	Q96F81
Q9NUB1	Q96NX5
P14091	P05231
P83876	Q8WUD4
P19438	Q96H15
Q96PP9	Q7KZI7
O43772	Q9BU61
P61204	O43182
P08700	P39900
Q96QE2	Q9GZP9
Q9BWV3	O15315
O43513	P61163
Q99814	Q8N584
P62328	Q9NWL6
P62308	Q9NWY4
Q92913	Q9BXY4
Q96NS5	Q9BVG8
P55087	Q8WXI2
Q5THJ4	Q9HAZ1
Q9NX40	Q9Y2C2
Q6ZSJ9	Q9Y5Z6
Q15714	Q9UKE5
P35609	P54819
Q8NBX0	Q3SYC2
O43395	Q9GZR5
P47897	Q9HB07
Q9H3N1	Q7Z6W7
P82675	Q9H0L4
Q9ULN7	P51861
P17542	Q9C0J9
P23560	Q9Y653
Q17RG1	Q96FV0
P29350	Q9NP95
P55287	Q13751
P0C0L4	P42830
Q5EBM0	Q96E22
P02462	O60566
Q9UHQ9	Q14994
Q8IYU2	Q07864
Q8TEB9	Q9UHE8
Q8IYD8	P21399
O75907	P29373
O43921	Q14108
P16298	P33176
Q9BXS5	P13521
Q9H4D0	Q96K78
A5X5Y0	Q00266
Q9NYF8	Q6P1J9
P30926	Q9UBS5
Q96AJ9	O95639
Q9Y614	Q8N8A2
Q8NFW5	P0DP04
P62913	Q9NVI7
P35443	Q16552
Q7L590	P30305
Q8NEP7	O75665
O95394	O75351
P02647	Q13219
O75444	Q8N3J3
Q9UBI6	P50454
Q9HBH7	Q5T6X4
Q6P093	Q86SQ9
Q9H0U9	Q9NXE8
Q03169	O43286
Q9Y2E4	P43155
Q8IVT5	Q12913
P58658	P49755
P20142	Q86TL0
Q9NYB5	P48058
Q7Z3U7	P21675
Q13683	P18433
Q5VTL8	Q15050
P47989	O95255
Q13641	P62312
Q9H2B4	Q9BZL4
O00231	P09651
Q9BQ39	Q9Y536
Q5S007	Q03938
O94842	Q7Z6Z7
O75376	Q5VIY5
O76024	O95096
Q6ZR37	Q14154
Q01892	P05107
Q6ZMP0	Q96KX2
O43593	Q9Y287
P15516	P78509
Q96QV6	F8VTS6
P36268	P39748
Q9C0B9	Q01628
P11229	O15305
P11388	P54826
P49902	P49759
Q9H3K6	Q9NYL2
P09619	Q13164
P45984	O00212
O15520	P52926
P18827	P15498
Q96B18	P25021
P30038	Q7L5A8
Q9UNU6	O95255
Q9H892	P51817
Q32M84	Q63HQ2
Q14D33	P30040
O00258	Q9Y672
Q9H2F9	Q9Y6N7
P51688	P04114
Q9NPE6	O95379
Q8N684	P62913
Q9UGF6	Q6N022
P56192	Q8TAV4
Q9Y6C9	Q5W0Z9
O95528	Q9Y230
Q9UKU7	Q00796
Q9UII6	Q04917
Q99569	O60716
Q6GMV2	P22102
Q6P9H4	Q6ZWJ1
P52951	Q01959
Q7Z4H3	P16562
P05187	O14617
Q70YC5	P14867
Q8N159	P68871
P78369	Q9UKR3
O43847	Q9H3G5
Q7LFX5	O75689
Q96GD4	Q6EEV6
Q4UJ75	Q9HD36
Q9BW27	Q99873
P06132	Q9HBJ7
A7E2Y1	Q16539
Q07002	O43708
Q9NRD8	P47944
Q8WZ42	Q5CZC0
Q96BR1	P08922
P05155	O95965
P63104	O43424
A6NIM6	P22732
Q8NC60	P13639
Q969V3	E9PQY7
Q8NBN7	Q9BX73
O95954	A0A0A6YYJ9
Q8IWE2	P12757
O60711	Q5M775
Q9BYX4	Q99572
Q2TBE0	O00206
Q9H422	P55084
Q8TAW3	Q9H7B4
Q9BYR7	Q6AZY7
Q96CT2	P11441
P56192	Q17R31
P26010	P63267
Q9H9S5	Q9BYT9
P15170	P37108
Q63HQ2	P24046
P57058	Q96AY4
P07093	P24522
M0QX08	Q6VN20
Q8N8V2	P45954
Q05215	P60709
Q01973	P01111
Q9Y5F1	Q9NPI5
Q9NZH7	Q6EBC2
P35241	Q14520
Q6IMN6	Q15468
Q9P0L2	Q15562
A0A0A6YYJ8	Q5S007
Q8NER5	O14921
P60484	Q9Y6N8
Q07325	P56199
Q14832	Q6VAB6
P48058	Q9HBW1
Q9UBT2	P62910
Q6ZUX3	P27694
Q9UDW3	Q96PU8
Q9NQZ7	Q9Y2T4
P78318	Q8NB91
Q13530	Q6P1N0
P34903	Q9UN42
P48995	Q12879
O15033	Q9ULG1
Q9BX66	P49116
Q9Y4P8	Q07617
Q8N394	Q9P003
Q96SL4	Q13228
Q7L0Q8	O15144
Q8N283	Q96S82
P43354	O94813
Q9H3R0	Q8TD26
Q04721	O43854
Q17RD7	Q9UBB4
O95484	Q12908
P51451	P60981
Q8NDZ6	Q8TCT6
A8MY62	Q86XF0
Q14767	P57078
